Maninjau2 Suhu,02/12/2020,4:48:51 PM,,,,,,,,,,,,,,,,,,,,
Date,Time,-1m,0m,2m,4m,6m,8m,10m,12m,14m,16m,18m,20m,22m,28m,30m,40m,42m,50m,52m,60m,62m
13/01/2020, 03:35:14,24.125,28.2217,27.7759,27.5298,27.5464,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 03:40:21,24.5,28.2838,27.7759,27.4682,27.4846,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 03:45:14,24.4375,28.3458,27.7759,27.4682,27.4846,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 03:50:21,24.625,28.3458,27.7759,27.4682,27.4846,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 03:55:14,24.5,28.2838,27.7139,27.4682,27.4846,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 04:00:21,24.3125,28.3458,27.7139,27.4682,27.4846,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 04:15:15,24.625,28.4079,27.7139,27.5298,27.4846,27.4788,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 04:20:13,24.4375,28.4079,27.7139,27.5298,27.4846,27.5406,27.3957,27.3388,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 04:25:13,24.625,28.3458,27.7139,27.4682,27.4846,27.4788,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 04:30:13,24.5,28.3458,27.7139,27.4682,27.4846,27.4788,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 04:35:13,24.5625,28.3458,27.7139,27.5298,27.4846,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 04:40:14,24.5625,28.3458,27.6519,27.4682,27.4846,27.5406,27.3957,27.3388,27.348,27.2868,27.2593,27.2351,27.1651,26.9642,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 04:45:14,24.5625,28.3458,27.6519,27.5298,27.4846,27.5406,27.3957,27.3388,27.348,27.2868,27.2593,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 04:50:14,24.4375,28.3458,27.6519,27.4682,27.4846,27.5406,27.3957,27.3388,27.348,27.2868,27.2593,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 04:55:14,24.375,28.3458,27.6519,27.4682,27.4846,27.5406,27.3957,27.3388,27.348,27.2868,27.2593,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 05:00:14,24.3125,28.3458,27.6519,27.4682,27.4846,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 05:05:14,24.375,28.3458,27.6519,27.5298,27.4846,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 05:10:14,24.25,28.2838,27.7139,27.5298,27.4846,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 05:15:14,24.25,28.2838,27.7139,27.5298,27.4846,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 05:20:14,24.25,28.2838,27.7139,27.5298,27.4846,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 05:25:13,24.1875,28.2217,27.7139,27.5298,27.4846,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 05:30:13,24.1875,28.1597,27.7139,27.5298,27.4846,27.5406,27.4576,27.4006,27.348,27.3484,27.3209,27.2351,27.1651,26.9642,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 05:40:13,24.125,28.0355,27.7759,27.5298,27.4846,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 05:45:14,24.25,27.9735,27.7759,27.5298,27.5464,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 06:00:14,24.3125,27.9114,27.9,27.5298,27.5464,27.5406,27.4576,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 06:05:14,24.25,27.9114,27.9,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 06:10:14,24.4375,27.9114,27.962,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.3484,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 06:15:14,24.375,27.9735,27.962,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 06:20:14,24.4375,27.9735,28.024,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 06:25:14,24.25,27.9735,28.024,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 06:30:14,24.25,27.9735,27.962,27.5914,27.6083,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2351,27.1651,27.0253,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 06:35:13,24.25,28.0355,27.962,27.5914,27.6083,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2351,27.1651,27.0253,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 06:40:13,24.3125,28.0355,27.9,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 06:45:13,24.1875,28.0355,27.9,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.3484,27.3209,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 06:50:13,24.4375,27.9735,27.8379,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.3484,27.3209,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 06:55:14,24.5625,27.9735,27.8379,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2965,27.2268,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 07:05:14,24.75,27.9735,27.8379,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2965,27.2268,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
